title,company,description,salary_min,salary_max
Business Data Analyst,TEKsystems c/o Allegis Group,"Description We are seeking a Product / Data Analyst to support the ""Next Best Action"" initiative. This role focuses on interpreting complex data, including outputs from data science models and LLMs, to understand how system decisions impact business outcomes and to optimize lead-flow processes. This is a highly analytical, business-focused role. While dashboards and visuals may be involved, the primary responsibility is data interpretation, decision analysis, and optimization , rather than heav…",128456.64,128456.64
Data Analyst,System One,"Job Title : Data Analyst Location: San Francisco, CA Type: Contract-to-Hire Compensation: $25-$28/hour Contractor Work Model: Onsite Hours: Monday through Friday (8AM to 5PM) DATA ANALYST SUMMARY: Responsible for analyzing data and other information for the effective quality control and compliance management of the Housing Choice Voucher Program. Provide support to the HCV management team. This position may also include other duties, responsibilities, and project participation as assigned. RESP…",104566.05,104566.05
Business Data Analyst,TEKsystems,"Description We are seeking a Product / Data Analyst to support the ""Next Best Action"" initiative. This role focuses on interpreting complex data, including outputs from data science models and LLMs, to understand how system decisions impact business outcomes and to optimize lead-flow processes. This is a highly analytical, business-focused role. While dashboards and visuals may be involved, the primary responsibility is data interpretation, decision analysis, and optimization, rather than heavy…",140202.42,140202.42
Business/Data Analyst-Eagle Investment Systems,Apexon,"We are seeking an experienced Business / Data Analyst with strong expertise in the Eagle investment platform to support investment data management, portfolio accounting, and reporting functions within an asset management environment. The ideal candidate will work closely with business stakeholders, technology teams, and investment operations to analyze requirements, manage investment data, and support Eagle system implementations and enhancements. Job Title: Business / Data Analyst Eagle Invest…",80357.06,80357.06
"Sr. Data Analyst, Financial Analytics",Sunrun,"Ever since we started in 2007, Sunrun has been at the forefront of connecting people to the cleanest energy on Earth. It's why we've become the 1 home solar and battery company in America. Today, we're on a mission to change the way the world interacts with energy, and we're building a company and brand that puts power at the center of life. And we're doing it by designing a dynamic culture where employee development, well-being, and safety come first. We're unlike any other solar company. Our …",102962.59,102962.59
Data Analyst,The Walt Disney Company,"Job Posting Title: Data Analyst Req ID: 10140400 Job Description: Job Summary The Data Organization within The Walt Disney Company Direct to Consumer (DTC) business is seeking a Data Analyst to join our Marketing Analytics team. This team plays a crucial role in supporting products across Disney, Hulu, and ESPN. This initiative is key to the expansion of DTC's streaming services in the US. Our team uses data, statistical modeling/techniques, experimentation frameworks, and other tools to help o…",97500.0,130700.0
Data Analyst,Cardless,"Cardless is looking for a Data Analyst / Senior Data Analyst to join our team and help shape the insights, processes, and decisions behind our co-branded credit card platform. In this role, you’ll work across domains including applications, accounts, transactions, fraud, risk, rewards, and partner operations to support high-impact initiatives and ensure the reliability, accuracy, and efficiency of our core systems and business workflows. As an analyst at Cardless, you’ll dive deep into data, id…",130000.0,200000.0
Data Analyst,Doximity,"Doximity is transforming the healthcare industry. Join our mission to help every physician be more productive and provide better care for their patients. As medicine's largest network in the United States, there's an elevated level of responsibility in everything we do. We don't take that responsibility lightly and are committed to building diverse teams with an inclusive culture that can make a direct impact on the healthcare system. One of Doximity's core values is stretching ourselves. Even …",107080.08,107080.08
Data Analyst,System One,"Job Title : Data Analyst Location : San Francisco, CA Type : Contract-to-Hire Compensation: $25-$28/hour Contractor Work Model : Onsite Hours : Monday through Friday (8AM to 5PM) DATA ANALYST SUMMARY: Responsible for analyzing data and other information for the effective quality control and compliance management of the Housing Choice Voucher Program. Provide support to the HCV management team. This position may also include other duties, responsibilities, and project participation as assigned. …",93940.65,93940.65
Data Analyst,WGT,"Role World Golf Tour is seeking a Data Analyst to join our Product team. In this critical role, you will be the custodian of our data, organizing insights, and analyzing telemetry to support strategic business decisions. You will focus on developing and maintaining dashboards and analysis reports, collaborating across the studio and closely with the Product team to provide actionable insights that help drive the business. This role emphasizes strong data stewardship, visualization and statistic…",75000.0,125000.0
Data Analyst,"California Design, Printing & Marketing","We are seeking a highly analytical and detail-oriented data analyst to join our team. The successful candidate will be responsible for analyzing large data sets, identifying trends and patterns, and presenting insights to key stakeholders in the organization. The ideal candidate will have a strong background in data analysis, statistics, and database management. Responsibilities: • Work closely with stakeholders to understand business needs and identify opportunities for data analysis • Collect…",72463.2,72463.2
Data Analyst,Two Dots,"Join Two Dots to build a stronger financial system: Every time someone applies for a mortgage, car loan, or apartment lease, they submit financial documents that humans use to build a financial profile about them. The quality of these financial profiles is a key input that regulates the body temperature of the economy. Two Dots is building a better system to build these financial profiles more consistently and fairly with conversational interfaces that interact with consumers and automate much …",100000.0,175000.0
Data Analyst,Windfall,"At Windfall, data isn't just a resource—it’s our product. We are on a mission to democratize access to sophisticated people insights, transforming how organizations understand and engage with their audiences. By leveraging a vast and proprietary data ecosystem, we empower non-profits to exceed their fundraising goals and commercial enterprises to maximize their marketing ROI through precision and intelligence. We’re looking for a Data Analyst to help us unlock the full potential of our unique d…",90000.0,120000.0
Data Analyst,Air Apps,"About Air Apps At Air Apps, we believe in thinking bigger—and moving faster. We’re a family-founded company on a mission to create the world’s first AI-powered Personal & Entrepreneurial Resource Planner (PRP), and we need your passion and ambition to help us change how people plan, work, and live. Born in Lisbon, Portugal in 2018—and now with offices in both Lisbon and San Francisco—we’ve remained self-funded while reaching over 100 million downloads worldwide. Our long-term focus drives us to…",104000.0,184000.0
Data Analyst,Metriport,"Data Analyst San Francisco, CA On-site About us Metriport is an open-source data intelligence platform that helps healthcare organizations access and exchange patient data in real-time. We integrate with all major US healthcare IT systems and tap into comprehensive medical data for 300 million individuals. We've found product-market fit with multi-million ARR, 100 customers (including Amazon, Color, and Strive Health), backing from top VCs, and years of runway. We're ready to scale. We're a tig…",160000.0,190000.0
Data Analyst,Infinitus Systems,"Help Build the Future of Healthcare AI Infinitus is AI communications in service of patients. Healthcare is inherently complex and siloed. We’re pioneering agentic communications to connect the entire system — any stakeholder, any channel, inbound and out. The result is intelligent care that reduces patient anxiety, increases speed to treatment, and enables teams to scale impact without stretching resources. Our system combines industry-leading safety guardrails with the largest dynamic knowled…",138713.52,138713.52
Data Analyst,Fay,"About Fay At Fay, our mission is to make nutrition a foundational pillar of preventative care, improving outcomes, accessibility, and affordability at scale. We're building AI-powered infrastructure to transform preventative healthcare. Think that's bold? We're just getting started. Today, Fay is a three-sided marketplace connecting providers, patients, and payers to revolutionize preventative care delivery. Our b2b2c business-in-a-box solution empowers dietitians to deliver high-quality, affor…",150000.0,180000.0
Data Analyst,Numeral,"About Numeral: Numeral is transforming how taxes get done. Digital businesses are currently bogged down by a painful web of regulations across 47 states and 50 countries. We’re eliminating this burden so teams can focus on their core mission. We’re the largest and fastest growing AI-native tax solution. Started in 2023, Numeral has raised over $57M from Benchmark, Mayfield, Y-Combinator, and many others. We now serve over 2,500 paying customers and have more than tripled our revenue every year …",55000.0,120000.0
Data Analyst,Emendata,"About Us: At Emendata, we help bridge the gap between data and the real world. We partner with organizations that have a social mission and help them tackle their problems using analytics. Our role in these partnerships goes end to end—we handle everything from wrangling the data to analyzing the problem to turning the results into something actionable. We know that this analytics pipeline does not live in a vacuum. Getting to meaningful numbers requires more than just the right methods; it cal…",67536.68,67536.68
"Senior, Data Analyst - Technical Account Management",Walmart,"Position Summary Become the foremost expert on Inscape's ACR data-knowing how it works, where it breaks, and how to adapt it for client needs. You are the bridge between our internal data teams and external clients. Internally, you partner with engineering to understand product rollouts and surface viewership trends. Externally, you are the trusted guide for data licensees and media clients-troubleshooting issues, educating on workflows, and overseeing audience segment creation. You ensure clie…",124909.4,124909.4
Guidewire Data Analyst,Excelon Solutions LLC,"Job Title: Guidewire Data Analyst Work Mode: Hybrid 3 days onsite Locations : San Fransisco, CA Job Overview We are seeking a highly skilled Guidewire Data Analyst to join our team. The ideal candidate will have a strong background in Property & Casualty insurance , hands-on experience with Guidewire , and solid expertise in SQL, ETL processes, and reporting . This role requires both technical and business acumen to analyze data, provide insights, and support decision-making within the organiza…",128820.13,128820.13
Data Analyst (Hybrid),Doximity,"Doximity is transforming the healthcare industry. Join our mission to help every physician be more productive and provide better care for their patients. As medicine's largest network in the United States, there's an elevated level of responsibility in everything we do. We don't take that responsibility lightly and are committed to building diverse teams with an inclusive culture that can make a direct impact on the healthcare system. One of Doximity's core values is stretching ourselves. Even …",110620.12,110620.12
Senior Data Analyst,North East Medical Services,"The Senior Data Analyst will be responsible for projects involving research, analysis, and the presentation of findings, insights, and recommendations based on various factors (ex: data insights, regulatory changes, feedback from QA reviews, market information, etc.) to solve business problems and improve outcomes. ESSENTIAL JOB FUNCTIONS: Evaluate, communicate and lead business requests for implementation prioritization Perform research by gathering data from a variety of healthcare sources, i…",131783.0,151736.0
Data Analyst I,North East Medical Services,"Description The Data Analyst I provides foundational analytics support focusing on gathering data, performing foundational research, and assisting in the presentation of insights. This entry-level role is responsible for learning to navigate complex healthcare data sources and regulatory requirements to support departmental goals and business solutions. ESSENTIAL JOB FUNCTIONS: Supports Epic Reporting and Analytics, Data Quality & Validation. Stakeholder Support, Documentation & Process Improve…",103760.0,118768.0
Data Analyst (Remote),Francisco Partners,"First San Francisco Partners is a business advisory and enterprise information management (EIM) consultancy dedicated to helping companies leverage their data to improve strategic decision-making, reduce risk, create operational efficiencies and fuel unprecedented business success. Our services span data governance, data quality strategies, data management architecture, master data management strategy and implementation, analytics and big data. Job Responsibilities and Duties We have an immedia…",78086.58,78086.58
Senior Data Analyst,Doximity,"Doximity is transforming the healthcare industry. Join our mission to help every physician be more productive and provide better care for their patients. As medicine's largest network in the United States, there's an elevated level of responsibility in everything we do. We don't take that responsibility lightly and are committed to building diverse teams with an inclusive culture that can make a direct impact on the healthcare system. One of Doximity's core values is stretching ourselves. Even …",125007.12,125007.12
Data Analyst III,Brex,"Why join us Brex is the intelligent finance platform that enables companies to spend smarter and move faster in more than 200 markets. By combining global corporate cards and banking with intuitive spend management, bill pay, and travel software, Brex enables founders and finance teams to accelerate operations, gain real-time visibility, and control spend effortlessly. Brex’s AI-native automation and world-class service eliminate manual expense and accounting tasks for customers so they can foc…",114192.0,142740.0
Data Analyst-I,"San Francisco, CA","Job Title: Data Analyst - New Verticals Merchant Onboarding & Experience Pay rate: $38/hr.- $40/hr. - W2 (All inclusive) Duration:11 Months Work Location: REMOTE (HQ, USA, CA, San Francisco, 2nd St) About the Team Manage all BVID requests coming through and process them appropriately via tagging in the right DRIs for approval, asking the necessary questions, and ultimately completing the request Manage all BVID audit and compliance requests from the Internal Audit team Manage the ""tax retailer""…",93789.55,93789.55
Senior Data Analyst,Turo,"About the Team: Turo is seeking a Senior Data Analyst to join our growing team and turbo-charge Turo’s growth in the US. This Data Analyst will have the opportunity to work across domains and collaborate with Product, Engineering, and Operations. The ideal person for this role possesses strong quantitative and analytics skills, is a demonstrated self-starter that operates with an ownership mindset, possess excellent communication skills, and has the ability to get up to speed quickly on differe…",146000.0,182000.0
Data Analyst II,Brex,"Why join us Brex is the intelligent finance platform that enables companies to spend smarter and move faster in more than 200 markets. By combining global corporate cards and banking with intuitive spend management, bill pay, and travel software, Brex enables founders and finance teams to accelerate operations, gain real-time visibility, and control spend effortlessly. Brex’s AI-native automation and world-class service eliminate manual expense and accounting tasks for customers so they can foc…",93600.0,117000.0
Marketing Data Analyst,WGT,"Role World Golf Tour is seeking a Marketing Data Analyst to join our Growth team. You'll be the analytical engine behind our user acquisition and marketing efforts — owning performance measurement, channel analysis, and audience insights that directly inform how we spend and scale. This role sits at the intersection of paid media, organic growth, and product analytics, working closely with UA, brand, and product teams to turn data into decisions. Responsibilities Own reporting and analysis acro…",75000.0,125000.0
Sr. Data Analyst,Thunkable,"Role Overview Thunkable is seeking a Senior Data Analyst to join our Data & Analytics team who can bridge analytics and data foundations. In this role, you’ll not only analyze data to generate insights but also help connect and organize data from multiple sources—such as product analytics, marketing platforms, payments, and user systems—into a more complete and reliable view. We’re looking for practical solutions that help us move faster and make better decisions across the business. You will w…",95664.55,95664.55
Staff Data Analyst,Grow Therapy,"About Us: Grow Therapy is on a mission to serve as the trusted partner for therapists growing their practice, and patients accessing high-quality care. Powered by technology, we are a three-sided marketplace that empowers providers, augments insurance payors, and serves patients. Following the mass increase in depression and anxiety, the need for accessibility is more important than ever. To make our vision for mental healthcare a reality, we’re building a team of entrepreneurs and mission-driv…",182000.0,227000.0
Lead Data Analyst,Chime Financial,"About the Role Chime is the largest and fastest-growing U.S. player in the challenger-banking space. Through our banking partners, we offer access to bank accounts with fee-free overdraft, provide members the chance to receive early access to their paychecks, help them improve their credit, and more. We created Chime because we believe everyone deserves financial peace of mind. We’re looking for a Lead Data Analyst to drive forecasting for key growth and revenue drivers and deliver insights tha…",95043.19,95043.19
